company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,5M–20M,Other,>500,"Forklifts,Trucks,Vans",6–10,Preventive,4,1558,Mechanical failure,"ERP,None,TMS",Heard of it,Data security concerns,Neutral,10–25%,Regulatory compliance,<10%,"Parts availability,Predictive alerts,Cost–benefit analysis",Very important,In-house software,2–5%,Low,"Regulatory compliance,Cost reduction,Safety","Moderate cost, high reliability","Downtime hours,Delivery delays",Maybe
201–500,1M–5M,Other,251–500,"Vans,Delivery bikes",6–10,Preventive,0,1624,"Accidents,Mechanical failure","None,ERP",Very familiar,Other,Unlikely,<10%,Cost savings,10–20%,"Predictive alerts,Sustainability/CO₂ reports",Very important,In-house software,6–10%,None,"Uptime/reliability,Regulatory compliance,Cost reduction","Lower cost, moderate reliability",Fuel efficiency,No
201–500,1M–5M,Other,>500,"Vans,Trucks,Delivery bikes",<2,Preventive,2,1598,"Accidents,Mechanical failure,Electrical issues","WMS,None,TMS",Not familiar,Data security concerns,Very unlikely,26–50%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Fuel efficiency analytics",Very important,In-house software,>10%,Low,"Cost reduction,Safety,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Downtime hours,Emission metrics,Fuel efficiency",No
51–200,1M–5M,Retail/E-commerce,25–100,"Delivery bikes,Electric vehicles (EVs)",<2,Reactive,1,627,Mechanical failure,"WMS,ERP,None",Very familiar,Not a priority,Neutral,26–50%,Competitive advantage,21–30%,Cost–benefit analysis,Moderately important,3rd party tool,<2%,High,"Uptime/reliability,Customer satisfaction,Safety","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Emission metrics",Yes
501–1000,20M–100M,Other,>500,Trucks,6–10,Predictive,3,2021,Electrical issues,"WMS,None",Very familiar,Lack of internal skills,Neutral,<10%,Sustainability goals,21–30%,"Real-time health scores,Predictive alerts",Critical,Manual spreadsheet,6–10%,High,"Cost reduction,Safety,Regulatory compliance","Higher cost, maximum reliability","Downtime hours,Delivery delays,Repair costs",Yes
>1000,5M–20M,Manufacturing,25–100,Electric vehicles (EVs),>10,Preventive,5,968,"Electrical issues,Mechanical failure",TMS,Not familiar,Complexity,Unlikely,26–50%,Uptime improvement,21–30%,"Predictive alerts,Sustainability/CO₂ reports",Very important,Not tracked,<2%,Medium,"Sustainability,Uptime/reliability,Cost reduction","Higher cost, maximum reliability","Delivery delays,Repair costs,Fuel efficiency",Yes
>1000,1M–5M,Logistics provider,25–100,Trucks,6–10,Reactive,6,1255,"Battery/charging (for EVs),Electrical issues",ERP,Currently using,Not a priority,Unlikely,<10%,Uptime improvement,10–20%,Parts availability,Moderately important,Not tracked,<2%,Medium,"Sustainability,Regulatory compliance,Customer satisfaction","Moderate cost, high reliability","Fuel efficiency,Emission metrics,Delivery delays",No
201–500,1M–5M,Retail/E-commerce,<25,"Electric vehicles (EVs),Forklifts,Trucks",>10,Preventive,2,1024,"Electrical issues,Battery/charging (for EVs),Mechanical failure","None,WMS",Currently using,Complexity,Neutral,10–25%,Regulatory compliance,21–30%,Fuel efficiency analytics,Critical,In-house software,2–5%,High,"Cost reduction,Regulatory compliance,Sustainability","Moderate cost, high reliability",Fuel efficiency,No
<50,<1M,Manufacturing,<25,"Electric vehicles (EVs),Delivery bikes,Trucks,Vans",2–5,Reactive,2,1315,"Tire issues,Battery/charging (for EVs)","None,WMS,TMS",Currently using,Lack of internal skills,Neutral,10–25%,Sustainability goals,21–30%,"Real-time health scores,Maintenance scheduling,Parts availability",Critical,In-house software,2–5%,Medium,"Regulatory compliance,Uptime/reliability,Sustainability","Moderate cost, high reliability",Emission metrics,Maybe
>1000,5M–20M,Logistics provider,101–250,"Electric vehicles (EVs),Vans,Forklifts,Delivery bikes",6–10,Reactive,6,768,Tire issues,"WMS,TMS",Somewhat familiar,Not a priority,Neutral,<10%,Uptime improvement,21–30%,"Parts availability,Real-time health scores",Moderately important,Not tracked,<2%,Essential,"Customer satisfaction,Sustainability,Safety","Lower cost, moderate reliability","Fuel efficiency,Repair costs,Downtime hours,Emission metrics",Maybe
501–1000,20M–100M,Manufacturing,25–100,"Forklifts,Vans,Delivery bikes,Trucks",6–10,Preventive,9,1087,"Tire issues,Battery/charging (for EVs)","ERP,TMS",Heard of it,Cost,Very likely,<10%,Cost savings,10–20%,Parts availability,Very important,In-house software,2–5%,Medium,"Safety,Sustainability,Cost reduction","Moderate cost, high reliability","Fuel efficiency,Repair costs,Delivery delays,Emission metrics",No
<50,1M–5M,Manufacturing,25–100,"Vans,Trucks",6–10,Preventive,3,1291,"Electrical issues,Mechanical failure","ERP,WMS,None",Somewhat familiar,Lack of internal skills,Likely,10–25%,Regulatory compliance,>30%,"Sustainability/CO₂ reports,Predictive alerts,Fuel efficiency analytics",Critical,Not tracked,>10%,Low,"Regulatory compliance,Cost reduction,Customer satisfaction","Moderate cost, high reliability",Downtime hours,Yes
>1000,<1M,Logistics provider,101–250,"Electric vehicles (EVs),Delivery bikes,Vans",2–5,Predictive,0,1812,Tire issues,"TMS,WMS",Somewhat familiar,Data security concerns,Very unlikely,<10%,Sustainability goals,10–20%,"Real-time health scores,Fuel efficiency analytics,Maintenance scheduling",Critical,Manual spreadsheet,<2%,Low,"Uptime/reliability,Regulatory compliance,Customer satisfaction","Moderate cost, high reliability",Delivery delays,Yes
>1000,<1M,Retail/E-commerce,25–100,"Delivery bikes,Electric vehicles (EVs),Vans,Forklifts",2–5,Predictive,3,1752,"Mechanical failure,Battery/charging (for EVs),Accidents","WMS,TMS",Heard of it,Not a priority,Neutral,<10%,Cost savings,21–30%,"Real-time health scores,Fuel efficiency analytics,Sustainability/CO₂ reports",Not important,In-house software,6–10%,High,"Regulatory compliance,Cost reduction,Customer satisfaction","Lower cost, moderate reliability",Delivery delays,Maybe
201–500,>100M,Manufacturing,101–250,"Trucks,Electric vehicles (EVs),Forklifts,Delivery bikes",6–10,Preventive,1,1777,"Electrical issues,Accidents",None,Somewhat familiar,Lack of internal skills,Likely,<10%,Uptime improvement,21–30%,Fuel efficiency analytics,Very important,Not tracked,6–10%,Medium,"Customer satisfaction,Cost reduction,Safety","Moderate cost, high reliability","Emission metrics,Repair costs,Fuel efficiency",Yes
201–500,1M–5M,Retail/E-commerce,25–100,"Forklifts,Trucks,Delivery bikes",2–5,Reactive,3,1634,"Battery/charging (for EVs),Accidents,Electrical issues","TMS,WMS,None",Very familiar,Lack of internal skills,Very unlikely,<10%,Uptime improvement,21–30%,Predictive alerts,Critical,Manual spreadsheet,<2%,Low,"Cost reduction,Sustainability,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Fuel efficiency,Emission metrics,Delivery delays",No
51–200,20M–100M,Logistics provider,251–500,"Forklifts,Delivery bikes",>10,Preventive,3,2123,"Mechanical failure,Tire issues","WMS,None",Not familiar,Not a priority,Neutral,<10%,Uptime improvement,21–30%,Fuel efficiency analytics,Slightly important,In-house software,2–5%,Medium,"Regulatory compliance,Customer satisfaction,Sustainability","Higher cost, maximum reliability","Delivery delays,Repair costs",Yes
<50,5M–20M,Logistics provider,251–500,"Forklifts,Trucks",2–5,Preventive,2,1055,"Tire issues,Battery/charging (for EVs),Electrical issues","None,TMS",Heard of it,Data security concerns,Neutral,10–25%,Uptime improvement,<10%,Maintenance scheduling,Very important,3rd party tool,<2%,Medium,"Uptime/reliability,Cost reduction,Customer satisfaction","Lower cost, moderate reliability","Fuel efficiency,Downtime hours,Emission metrics",Yes
51–200,1M–5M,Logistics provider,25–100,"Forklifts,Electric vehicles (EVs),Trucks",6–10,Preventive,0,1121,Mechanical failure,"WMS,TMS,None",Not familiar,Other,Very likely,26–50%,Competitive advantage,21–30%,"Sustainability/CO₂ reports,Parts availability",Very important,Not tracked,<2%,High,"Sustainability,Cost reduction,Customer satisfaction","Moderate cost, high reliability","Repair costs,Fuel efficiency,Delivery delays",No
501–1000,1M–5M,Other,25–100,Trucks,6–10,Reactive,4,1101,Tire issues,WMS,Very familiar,Data security concerns,Neutral,<10%,Regulatory compliance,10–20%,"Parts availability,Predictive alerts,Maintenance scheduling",Slightly important,Manual spreadsheet,<2%,Low,"Regulatory compliance,Cost reduction,Sustainability","Lower cost, moderate reliability","Delivery delays,Fuel efficiency,Downtime hours,Repair costs",Yes
<50,1M–5M,Logistics provider,25–100,Delivery bikes,6–10,Preventive,3,1169,"Accidents,Mechanical failure,Tire issues","None,ERP,TMS",Somewhat familiar,Lack of internal skills,Likely,<10%,Regulatory compliance,<10%,"Sustainability/CO₂ reports,Real-time health scores",Not important,Not tracked,<2%,High,"Customer satisfaction,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Downtime hours,Delivery delays,Repair costs",No
51–200,5M–20M,Manufacturing,251–500,"Trucks,Vans,Electric vehicles (EVs),Delivery bikes",2–5,Predictive,2,482,"Tire issues,Accidents","None,ERP",Not familiar,Complexity,Neutral,26–50%,Uptime improvement,10–20%,"Real-time health scores,Cost–benefit analysis,Maintenance scheduling",Very important,3rd party tool,<2%,Medium,"Regulatory compliance,Uptime/reliability,Safety","Lower cost, moderate reliability","Downtime hours,Repair costs,Delivery delays",Maybe
51–200,20M–100M,Logistics provider,25–100,"Forklifts,Trucks,Delivery bikes",>10,Preventive,1,1332,"Battery/charging (for EVs),Tire issues,Electrical issues",None,Currently using,Other,Likely,<10%,Regulatory compliance,21–30%,Predictive alerts,Moderately important,Not tracked,<2%,Medium,"Regulatory compliance,Uptime/reliability,Cost reduction","Lower cost, moderate reliability","Fuel efficiency,Repair costs,Downtime hours,Delivery delays",Yes
201–500,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Vans",6–10,Predictive,3,1448,Electrical issues,"None,ERP,WMS",Not familiar,Other,Neutral,26–50%,Cost savings,10–20%,"Maintenance scheduling,Real-time health scores,Parts availability",Moderately important,Not tracked,2–5%,High,"Safety,Cost reduction,Uptime/reliability","Lower cost, moderate reliability","Fuel efficiency,Emission metrics",Yes
>1000,5M–20M,Food & Beverage,<25,"Trucks,Delivery bikes,Forklifts,Electric vehicles (EVs)",2–5,Preventive,0,1071,"Mechanical failure,Battery/charging (for EVs),Tire issues","None,TMS,WMS",Somewhat familiar,Lack of internal skills,Neutral,<10%,Cost savings,10–20%,"Fuel efficiency analytics,Real-time health scores,Parts availability",Moderately important,3rd party tool,2–5%,High,"Customer satisfaction,Safety,Sustainability","Moderate cost, high reliability","Fuel efficiency,Emission metrics",Maybe
51–200,<1M,Manufacturing,25–100,Vans,6–10,Reactive,4,321,Battery/charging (for EVs),"None,ERP,WMS",Very familiar,Not a priority,Neutral,<10%,Regulatory compliance,21–30%,"Maintenance scheduling,Predictive alerts,Cost–benefit analysis",Very important,Not tracked,>10%,High,"Regulatory compliance,Safety,Cost reduction","Moderate cost, high reliability",Delivery delays,No
51–200,>100M,Logistics provider,25–100,"Forklifts,Electric vehicles (EVs)",2–5,Preventive,4,1211,Electrical issues,None,Very familiar,Not a priority,Very likely,<10%,Uptime improvement,>30%,Parts availability,Slightly important,Manual spreadsheet,<2%,Medium,"Safety,Regulatory compliance,Cost reduction","Higher cost, maximum reliability","Emission metrics,Delivery delays",Yes
501–1000,20M–100M,Logistics provider,251–500,"Electric vehicles (EVs),Forklifts,Trucks,Vans",2–5,Preventive,1,553,"Mechanical failure,Electrical issues","None,WMS,ERP",Not familiar,Not a priority,Very unlikely,<10%,Sustainability goals,>30%,Sustainability/CO₂ reports,Very important,Not tracked,6–10%,Essential,"Customer satisfaction,Cost reduction,Sustainability","Lower cost, moderate reliability",Fuel efficiency,Maybe
201–500,1M–5M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks",2–5,Reactive,3,1414,Mechanical failure,"None,WMS",Currently using,Data security concerns,Unlikely,26–50%,Uptime improvement,>30%,"Fuel efficiency analytics,Maintenance scheduling",Very important,Manual spreadsheet,>10%,Medium,"Regulatory compliance,Customer satisfaction,Uptime/reliability","Lower cost, moderate reliability","Emission metrics,Delivery delays,Downtime hours",No
51–200,>100M,Retail/E-commerce,25–100,"Delivery bikes,Trucks,Vans,Electric vehicles (EVs)",6–10,Reactive,3,1260,Mechanical failure,"ERP,TMS",Currently using,Cost,Likely,<10%,Competitive advantage,21–30%,"Sustainability/CO₂ reports,Parts availability,Fuel efficiency analytics",Slightly important,Manual spreadsheet,<2%,Medium,"Customer satisfaction,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Downtime hours,Emission metrics",Yes
201–500,5M–20M,Manufacturing,251–500,Trucks,2–5,Reactive,3,1309,"Accidents,Mechanical failure,Tire issues","TMS,ERP",Somewhat familiar,Not a priority,Likely,>50%,Sustainability goals,21–30%,Predictive alerts,Very important,3rd party tool,2–5%,Medium,"Safety,Uptime/reliability,Cost reduction","Moderate cost, high reliability","Delivery delays,Emission metrics,Downtime hours,Repair costs",Maybe
<50,5M–20M,Logistics provider,251–500,"Electric vehicles (EVs),Trucks",6–10,Reactive,6,669,"Mechanical failure,Battery/charging (for EVs)","WMS,TMS",Somewhat familiar,Not a priority,Unlikely,10–25%,Competitive advantage,21–30%,"Maintenance scheduling,Predictive alerts",Very important,Manual spreadsheet,2–5%,None,"Customer satisfaction,Sustainability,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Repair costs",No
51–200,5M–20M,Logistics provider,25–100,Electric vehicles (EVs),2–5,Preventive,5,1831,Accidents,None,Not familiar,Other,Unlikely,26–50%,Regulatory compliance,10–20%,"Sustainability/CO₂ reports,Cost–benefit analysis,Fuel efficiency analytics",Slightly important,Not tracked,>10%,High,"Safety,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Repair costs,Delivery delays,Downtime hours",Yes
201–500,20M–100M,Logistics provider,25–100,"Vans,Electric vehicles (EVs),Forklifts,Trucks",2–5,Predictive,5,1285,Tire issues,None,Somewhat familiar,Complexity,Neutral,<10%,Competitive advantage,<10%,Predictive alerts,Critical,Not tracked,6–10%,Medium,"Regulatory compliance,Uptime/reliability,Safety","Higher cost, maximum reliability","Delivery delays,Downtime hours,Repair costs,Emission metrics",No
51–200,5M–20M,Other,25–100,"Vans,Trucks",>10,Preventive,3,743,"Tire issues,Electrical issues",WMS,Somewhat familiar,Complexity,Neutral,<10%,Regulatory compliance,10–20%,"Maintenance scheduling,Fuel efficiency analytics",Moderately important,Manual spreadsheet,2–5%,Essential,"Safety,Regulatory compliance,Uptime/reliability","Moderate cost, high reliability","Emission metrics,Fuel efficiency,Repair costs",No
>1000,1M–5M,Other,>500,"Electric vehicles (EVs),Trucks",6–10,Preventive,2,1490,"Mechanical failure,Tire issues,Electrical issues",WMS,Very familiar,Lack of internal skills,Likely,10–25%,Competitive advantage,10–20%,Cost–benefit analysis,Slightly important,Manual spreadsheet,6–10%,Low,"Sustainability,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Repair costs,Fuel efficiency,Downtime hours",Maybe
51–200,1M–5M,Logistics provider,<25,"Forklifts,Vans,Delivery bikes,Electric vehicles (EVs)",>10,Preventive,5,1249,"Battery/charging (for EVs),Tire issues","None,TMS",Somewhat familiar,Lack of internal skills,Very unlikely,<10%,Sustainability goals,21–30%,"Cost–benefit analysis,Maintenance scheduling",Moderately important,In-house software,6–10%,High,"Safety,Cost reduction,Uptime/reliability","Lower cost, moderate reliability",Repair costs,Maybe
201–500,20M–100M,Manufacturing,>500,"Vans,Forklifts,Delivery bikes",2–5,Preventive,5,2118,Battery/charging (for EVs),"None,ERP,TMS",Very familiar,Lack of internal skills,Very likely,26–50%,Competitive advantage,21–30%,Predictive alerts,Moderately important,Not tracked,2–5%,High,"Sustainability,Cost reduction,Uptime/reliability","Lower cost, moderate reliability","Repair costs,Downtime hours,Fuel efficiency",Yes
201–500,1M–5M,Logistics provider,101–250,"Electric vehicles (EVs),Vans,Delivery bikes,Forklifts",2–5,Reactive,6,924,"Battery/charging (for EVs),Accidents","ERP,WMS",Not familiar,Not a priority,Neutral,10–25%,Uptime improvement,<10%,Parts availability,Not important,Not tracked,6–10%,Essential,"Cost reduction,Customer satisfaction,Uptime/reliability","Higher cost, maximum reliability",Repair costs,Yes
<50,1M–5M,Logistics provider,25–100,Delivery bikes,6–10,Preventive,1,576,"Electrical issues,Battery/charging (for EVs),Tire issues","None,WMS,TMS",Not familiar,Complexity,Unlikely,10–25%,Regulatory compliance,>30%,"Predictive alerts,Parts availability,Cost–benefit analysis",Not important,Manual spreadsheet,6–10%,Low,"Uptime/reliability,Sustainability,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Downtime hours",Maybe
201–500,5M–20M,Manufacturing,<25,"Electric vehicles (EVs),Trucks,Forklifts",6–10,Preventive,4,1345,"Tire issues,Battery/charging (for EVs)","WMS,TMS",Not familiar,Lack of internal skills,Neutral,<10%,Cost savings,21–30%,"Cost–benefit analysis,Parts availability,Sustainability/CO₂ reports",Not important,Not tracked,<2%,Essential,"Customer satisfaction,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Downtime hours,Emission metrics",Maybe
51–200,5M–20M,Other,25–100,"Vans,Delivery bikes,Trucks,Electric vehicles (EVs)",2–5,Reactive,1,1706,"Battery/charging (for EVs),Mechanical failure","TMS,ERP,WMS",Not familiar,Complexity,Likely,10–25%,Competitive advantage,21–30%,Maintenance scheduling,Very important,In-house software,>10%,Essential,"Uptime/reliability,Customer satisfaction,Regulatory compliance","Higher cost, maximum reliability","Emission metrics,Delivery delays,Downtime hours",Yes
>1000,5M–20M,Other,25–100,"Delivery bikes,Electric vehicles (EVs),Trucks",2–5,Predictive,1,2361,"Accidents,Mechanical failure,Battery/charging (for EVs)","TMS,ERP,None",Somewhat familiar,Not a priority,Very unlikely,10–25%,Regulatory compliance,>30%,"Fuel efficiency analytics,Cost–benefit analysis,Real-time health scores",Moderately important,In-house software,2–5%,Essential,"Uptime/reliability,Sustainability,Regulatory compliance","Moderate cost, high reliability","Repair costs,Fuel efficiency,Downtime hours",Yes
<50,20M–100M,Retail/E-commerce,<25,"Forklifts,Electric vehicles (EVs),Vans,Delivery bikes",6–10,Preventive,4,2909,Electrical issues,None,Very familiar,Other,Likely,26–50%,Cost savings,<10%,Predictive alerts,Critical,Manual spreadsheet,6–10%,Essential,"Customer satisfaction,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Repair costs,Downtime hours,Delivery delays",Maybe
51–200,1M–5M,Logistics provider,101–250,"Forklifts,Trucks,Vans",2–5,Preventive,5,424,"Battery/charging (for EVs),Mechanical failure,Accidents","WMS,ERP,None",Somewhat familiar,Not a priority,Likely,10–25%,Regulatory compliance,>30%,"Real-time health scores,Sustainability/CO₂ reports,Predictive alerts",Very important,In-house software,2–5%,Essential,"Cost reduction,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Repair costs",Maybe
<50,1M–5M,Manufacturing,>500,"Electric vehicles (EVs),Trucks,Delivery bikes",6–10,Reactive,2,1132,Accidents,"None,ERP,WMS",Somewhat familiar,Lack of internal skills,Unlikely,>50%,Regulatory compliance,10–20%,"Maintenance scheduling,Parts availability",Very important,3rd party tool,>10%,High,"Sustainability,Uptime/reliability,Safety","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Emission metrics,Downtime hours",Yes
>1000,1M–5M,Logistics provider,101–250,"Electric vehicles (EVs),Trucks,Delivery bikes",2–5,Preventive,1,578,"Electrical issues,Mechanical failure,Accidents","ERP,None,TMS",Very familiar,Not a priority,Unlikely,>50%,Cost savings,21–30%,"Fuel efficiency analytics,Cost–benefit analysis,Predictive alerts",Very important,In-house software,6–10%,Essential,"Customer satisfaction,Uptime/reliability,Sustainability","Higher cost, maximum reliability","Downtime hours,Fuel efficiency,Repair costs",Maybe
201–500,20M–100M,Retail/E-commerce,101–250,"Vans,Trucks",2–5,Predictive,5,1076,Battery/charging (for EVs),None,Heard of it,Not a priority,Unlikely,26–50%,Cost savings,>30%,"Real-time health scores,Maintenance scheduling,Predictive alerts",Very important,Not tracked,2–5%,High,"Customer satisfaction,Safety,Uptime/reliability","Lower cost, moderate reliability","Emission metrics,Downtime hours,Repair costs,Delivery delays",Yes
201–500,5M–20M,Logistics provider,<25,Vans,>10,Preventive,5,2439,Mechanical failure,"WMS,TMS",Somewhat familiar,Complexity,Likely,10–25%,Sustainability goals,21–30%,Cost–benefit analysis,Very important,3rd party tool,>10%,High,"Regulatory compliance,Customer satisfaction,Cost reduction","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Downtime hours,Repair costs",Yes
<50,1M–5M,Manufacturing,25–100,"Forklifts,Delivery bikes",2–5,Reactive,1,790,"Battery/charging (for EVs),Mechanical failure",None,Heard of it,Cost,Unlikely,10–25%,Competitive advantage,<10%,Parts availability,Very important,In-house software,2–5%,High,"Safety,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Downtime hours,Emission metrics",Yes
501–1000,20M–100M,Logistics provider,<25,"Electric vehicles (EVs),Trucks",2–5,Preventive,3,1189,"Tire issues,Mechanical failure,Electrical issues","WMS,TMS",Very familiar,Data security concerns,Likely,<10%,Competitive advantage,<10%,"Cost–benefit analysis,Sustainability/CO₂ reports",Moderately important,3rd party tool,<2%,Essential,"Sustainability,Regulatory compliance,Uptime/reliability","Lower cost, moderate reliability",Fuel efficiency,No
51–200,20M–100M,Logistics provider,101–250,"Electric vehicles (EVs),Vans",6–10,Reactive,7,910,"Accidents,Electrical issues",ERP,Heard of it,Lack of internal skills,Neutral,>50%,Regulatory compliance,10–20%,Sustainability/CO₂ reports,Moderately important,Manual spreadsheet,2–5%,Low,"Sustainability,Customer satisfaction,Cost reduction","Moderate cost, high reliability",Delivery delays,Maybe
>1000,20M–100M,Other,>500,"Trucks,Vans,Delivery bikes",2–5,Preventive,3,698,"Battery/charging (for EVs),Accidents,Tire issues",TMS,Not familiar,Cost,Likely,>50%,Uptime improvement,>30%,Fuel efficiency analytics,Critical,3rd party tool,2–5%,Essential,"Regulatory compliance,Uptime/reliability,Customer satisfaction","Moderate cost, high reliability","Repair costs,Downtime hours,Fuel efficiency,Emission metrics",No
51–200,20M–100M,Logistics provider,101–250,"Forklifts,Trucks,Electric vehicles (EVs)",2–5,Preventive,2,2096,Electrical issues,"ERP,WMS,TMS",Somewhat familiar,Other,Likely,<10%,Uptime improvement,10–20%,"Parts availability,Real-time health scores",Very important,In-house software,2–5%,Medium,"Cost reduction,Uptime/reliability,Sustainability","Lower cost, moderate reliability","Delivery delays,Fuel efficiency",Yes
51–200,1M–5M,Retail/E-commerce,<25,Forklifts,6–10,Reactive,2,430,"Tire issues,Mechanical failure,Battery/charging (for EVs)","TMS,None,WMS",Currently using,Lack of internal skills,Neutral,10–25%,Regulatory compliance,10–20%,Fuel efficiency analytics,Moderately important,Manual spreadsheet,6–10%,Medium,"Sustainability,Regulatory compliance,Cost reduction","Moderate cost, high reliability",Delivery delays,Maybe
<50,20M–100M,Logistics provider,25–100,Vans,2–5,Reactive,5,1159,Electrical issues,WMS,Somewhat familiar,Cost,Very likely,26–50%,Sustainability goals,>30%,"Fuel efficiency analytics,Cost–benefit analysis,Predictive alerts",Slightly important,In-house software,6–10%,None,"Safety,Uptime/reliability,Cost reduction","Moderate cost, high reliability",Delivery delays,Yes
201–500,5M–20M,Logistics provider,101–250,"Delivery bikes,Trucks,Forklifts",2–5,Preventive,2,1244,Electrical issues,TMS,Very familiar,Not a priority,Likely,<10%,Cost savings,<10%,"Predictive alerts,Fuel efficiency analytics,Maintenance scheduling",Moderately important,Not tracked,2–5%,Medium,"Regulatory compliance,Sustainability,Safety","Moderate cost, high reliability","Downtime hours,Emission metrics,Fuel efficiency",Maybe
201–500,20M–100M,Logistics provider,25–100,Forklifts,2–5,Preventive,2,1183,"Accidents,Mechanical failure,Electrical issues","None,TMS",Very familiar,Lack of internal skills,Neutral,<10%,Regulatory compliance,>30%,"Real-time health scores,Sustainability/CO₂ reports",Slightly important,3rd party tool,>10%,Essential,"Customer satisfaction,Sustainability,Uptime/reliability","Higher cost, maximum reliability","Emission metrics,Fuel efficiency",Maybe
<50,5M–20M,Logistics provider,251–500,"Forklifts,Delivery bikes,Electric vehicles (EVs)",6–10,Reactive,3,1042,"Accidents,Mechanical failure","ERP,TMS",Somewhat familiar,Cost,Likely,>50%,Competitive advantage,10–20%,Maintenance scheduling,Critical,Not tracked,6–10%,Medium,"Sustainability,Uptime/reliability,Cost reduction","Higher cost, maximum reliability","Fuel efficiency,Emission metrics,Delivery delays",Yes
501–1000,20M–100M,Food & Beverage,251–500,"Delivery bikes,Electric vehicles (EVs),Vans",6–10,Predictive,2,2007,"Mechanical failure,Electrical issues,Accidents","ERP,None",Very familiar,Data security concerns,Likely,26–50%,Uptime improvement,<10%,"Predictive alerts,Maintenance scheduling,Cost–benefit analysis",Moderately important,In-house software,>10%,High,"Uptime/reliability,Customer satisfaction,Regulatory compliance","Higher cost, maximum reliability","Fuel efficiency,Emission metrics",Yes
201–500,5M–20M,Logistics provider,101–250,"Delivery bikes,Forklifts,Trucks,Vans",6–10,Preventive,3,300,"Tire issues,Accidents,Mechanical failure","None,WMS",Very familiar,Not a priority,Neutral,26–50%,Uptime improvement,<10%,"Fuel efficiency analytics,Cost–benefit analysis,Maintenance scheduling",Not important,Not tracked,>10%,Low,"Regulatory compliance,Customer satisfaction,Safety","Moderate cost, high reliability","Delivery delays,Repair costs,Emission metrics,Downtime hours",Maybe
201–500,1M–5M,Other,25–100,"Forklifts,Delivery bikes",<2,Preventive,2,1418,"Mechanical failure,Electrical issues","WMS,ERP,None",Heard of it,Lack of internal skills,Neutral,<10%,Uptime improvement,>30%,"Predictive alerts,Cost–benefit analysis,Parts availability",Slightly important,In-house software,<2%,Essential,"Customer satisfaction,Safety,Cost reduction","Moderate cost, high reliability","Delivery delays,Repair costs",No
51–200,5M–20M,Retail/E-commerce,25–100,"Trucks,Forklifts",6–10,Reactive,2,1440,"Mechanical failure,Electrical issues,Accidents","ERP,WMS",Heard of it,Other,Neutral,<10%,Sustainability goals,21–30%,Fuel efficiency analytics,Moderately important,Not tracked,6–10%,Essential,"Customer satisfaction,Uptime/reliability,Regulatory compliance","Higher cost, maximum reliability",Repair costs,Yes
51–200,>100M,Logistics provider,<25,Delivery bikes,>10,Preventive,0,1343,"Accidents,Electrical issues","WMS,TMS",Heard of it,Other,Very likely,10–25%,Competitive advantage,10–20%,"Parts availability,Sustainability/CO₂ reports",Slightly important,In-house software,2–5%,Medium,"Regulatory compliance,Uptime/reliability,Safety","Higher cost, maximum reliability","Emission metrics,Downtime hours,Delivery delays",Maybe
201–500,20M–100M,Retail/E-commerce,25–100,Trucks,2–5,Preventive,7,785,"Tire issues,Accidents","TMS,WMS",Somewhat familiar,Lack of internal skills,Likely,10–25%,Sustainability goals,21–30%,Sustainability/CO₂ reports,Critical,Manual spreadsheet,6–10%,Medium,"Regulatory compliance,Sustainability,Cost reduction","Moderate cost, high reliability","Emission metrics,Repair costs,Fuel efficiency,Delivery delays",Yes
